TF,gene,label
ID3,MCM4,0
CRABP2,TNNI3,0
ID3,SMYD3,0
FOS,DPYSL2,0
KLF6,CAPN12,0
CRABP2,TGIF1,0
CRABP2,FANCB,0
RUVBL1,ANXA3,0
TGIF1,KIF20B,0
RUVBL1,CDK1,0
DDIT3,FANCB,1
PITX2,NIP7,0
PITX2,NIF3L1,0
ZNF143,BUB1B,1
DDIT3,PLK1,0
TGIF1,OTX2,0
FOS,NEK2,1
MCM4,FANCB,0
PITX2,OCIAD2,0
CRABP2,PHF5A,0
ID2,PTTG1,0
MCM4,MCM7,1
MCM3,ANXA3,0
ZNF143,KIF20B,0
MCM7,CCL2,0
KLF6,NQO1,0
MCM3,NEK2,0
ID3,RUVBL1,0
MCM4,TPD52L1,0
ID2,SMYD3,0
ID2,VTN,0
MCM4,FOS,0
ID3,ANXA3,0
RUVBL1,KLF6,0
DDIT3,ADM,1
ZNF143,ID3,0
MCM7,TGIF1,0
ID3,NIP7,0
MCM7,NFYB,0
PITX2,UBE2T,0
PTTG1,UBE2T,0
KNTC1,ANXA3,0
MCM3,NQO1,0
ZNF143,MCM3,0
NFYB,ACTL6A,0
MCM3,CA2,0
MCM4,MRPS27,0
TGIF1,TGIF1,1
RUVBL1,HESX1,0
KLF6,MCM7,0
MCM7,CDK1,0
ID3,NIF3L1,0
PITX2,CAMK2D,0
PTTG1,IQGAP2,0
MCM4,ACTC1,0
MCM3,TPD52L1,0
RUVBL1,CENPF,0
ID3,CRABP2,0
MCM4,ID3,0
RUVBL1,LGALS3,0
CRABP2,CCS,0
TGIF1,CENPF,0
ID3,MCM7,0
OTX2,SERPINB1,0
ID2,IQGAP2,0
MCM3,CHEK2,0
MCM4,PMAIP1,0
KNTC1,ACADVL,0
MCM7,MRPS27,0
FOS,CRABP2,1
PTTG1,HESX1,0
CRABP2,PRKCE,0
TGIF1,MCM3,0
PTTG1,RBP4,0
PITX2,NFYB,0
NFYB,OTX2,0
MCM4,RBP4,0
DDIT3,ANAPC7,0
FOS,HESX1,0
KLF6,CCNB1,0
MCM3,MCM7,1
ZNF143,AURKA,0
ZNF143,RUVBL1,0
FOS,OCIAD2,1
PTTG1,PCCA,0
ID3,ACTL6A,0
RUVBL1,VTN,0
ID3,AURKA,0
FOS,CENPF,0
PTTG1,NFYB,0
ID3,NEK2,0
TGIF1,OCIAD2,0
MCM3,FANCB,0
KNTC1,ADM,0
MCM7,DDIT3,0
FOS,CCNB1,0
RUVBL1,ACTC1,0
CRABP2,CCNB1,0
TGIF1,ACADVL,0
KNTC1,GRPR,0
KLF6,GPC3,0
ZNF143,PCNA,0
ZNF143,UBE2T,0
ID2,RUVBL1,0
PTTG1,MTFP1,0
KNTC1,TF,0
PTTG1,AURKA,0
MCM4,BUB1B,0
PTTG1,VTN,0
OTX2,MRPS27,0
MCM4,NEK2,0
NFYB,KIF20B,0
PITX2,ACTC1,0
TGIF1,UQCC1,0
OTX2,PRMT5,0
ZNF143,ACADVL,0
RUVBL1,SCHIP1,0
MCM3,PIM2,0
KLF6,ATG5,0
DDIT3,NIP7,1
ZNF143,VTN,0
MCM3,APEH,0
OTX2,PLK1,0
MCM3,DKC1,0
KNTC1,UTRN,0
DDIT3,CYP3A5,0
PTTG1,ACADVL,0
CRABP2,ANAPC7,0
KLF6,ID3,0
ZNF143,GPC3,0
MCM4,ZWILCH,0
CRABP2,PTTG1,0
TGIF1,RBP4,0
KNTC1,PHF5A,0
ID2,PCCA,0
MCM7,GPC3,0
MCM4,F3,0
NFYB,UQCC1,0
ID2,PMAIP1,0
NFYB,PRMT5,0
MCM4,UQCC1,0
RUVBL1,LGALS1,0
NFYB,CCL2,0
ID2,ANXA3,0
FOS,HAUS1,0
ID3,CDC20,0
OTX2,ACTL6A,0
MCM7,CYP3A5,0
NFYB,PCNA,1
NFYB,DDIT3,1
ID2,ATG5,0
OTX2,NIP7,0
MCM7,SMYD3,0
PTTG1,TF,0
CRABP2,RUVBL1,0
ID3,HESX1,0
OTX2,LGALS3,0
ZNF143,HESX1,0
PTTG1,GRPR,0
KNTC1,UQCC1,0
CRABP2,ACADVL,0
KLF6,ANXA3,0
PITX2,CRABP2,0
ZNF143,GRPR,0
ZNF143,PCCA,0
TGIF1,CAPN12,0
ID2,CA2,0
PTTG1,NEK2,0
RUVBL1,TGIF1,0
ZNF143,CCBL2,0
MCM4,CACYBP,0
ID3,KNTC1,0
MCM3,RUVBL1,0
MCM7,PLK1,1
FOS,NIF3L1,0
NFYB,CDC20,0
KLF6,ZNF143,0
CRABP2,ANXA3,0
MCM7,SCHIP1,0
PITX2,DKC1,0
MCM7,KNTC1,0
FOS,PCNA,0
OTX2,CHEK2,0
FOS,CCNH,0
DDIT3,ID3,1
FOS,ADM,1
NFYB,ID3,0
PITX2,IQGAP2,0
PITX2,MTFP1,0
MCM3,WARS,0
OTX2,MCM4,0
ZNF143,RBP4,0
NFYB,TGIF1,0
CRABP2,CA2,0
OTX2,FOS,0
NFYB,MCM7,0
TGIF1,PLK1,0
MCM4,PHF5A,0
KLF6,NIP7,0
KNTC1,PRKCE,0
NFYB,NEK2,0
PITX2,MRPS27,0
ZNF143,TM2D2,0
KLF6,AURKA,0
MCM4,PCCA,0
ID3,KLF6,0
ZNF143,ACTC1,0
RUVBL1,GSN,0
FOS,DDIT3,1
ZNF143,TNFRSF12A,0
OTX2,HESX1,1
TGIF1,NFYB,0
CRABP2,CAMK2D,0
PITX2,CENPF,0
ID2,NIP7,0
KNTC1,GSN,0
MCM4,DPYSL2,0
KNTC1,CAPN12,0
MCM4,RUVBL1,0
PITX2,SMYD3,0
DDIT3,CRABP2,0
FOS,ACTL6A,0
ID3,PCNA,0
TGIF1,PIM2,0
ID2,EFTUD2,0
MCM3,EFTUD2,0
MCM3,KNTC1,0
MCM4,ANAPC7,0
ID3,APEH,0
DDIT3,GRPR,0
ID2,ZNF143,0
KLF6,MRPS27,0
DDIT3,DPCD,0
FOS,PITX2,0
PTTG1,OCIAD2,0
OTX2,TNNI3,0
MCM3,VTN,0
ZNF143,DKC1,0
PTTG1,PMAIP1,0
MCM3,SCHIP1,0
DDIT3,OCIAD2,0
NFYB,ASNS,0
FOS,PRKCE,1
CRABP2,MT2A,0
OTX2,FANCB,0
PITX2,ADM,0
MCM3,PMAIP1,0
DDIT3,CDC20,0
ID3,GPC3,0
MCM4,TGIF1,0
FOS,PCCA,1
MCM7,CCBL2,0
OTX2,ACADVL,0
ZNF143,PRMT5,0
MCM3,PHF5A,0
PITX2,PLK1,0
TGIF1,CCBL2,0
OTX2,ACTC1,0
